,title,year,genre,runtime,mpa_rating,imdb_rating,imdb_gross,director,stars,tomato_meter,tom_aud_score,entity,id
66,The Return of Swamp Thing,1989,"Action, Adventure, Comedy",88,PG-13,4.6,190000,Jim Wynorski,"Dick Durock,Heather Locklear,Louis Jourdan,Sarah Douglas",44,55,DC,66
67,Batman,1989,"Action, Adventure",126,PG-13,7.5,251190000,Tim Burton,"Michael Keaton,Jack Nicholson,Kim Basinger,Robert Wuhl",71,84,DC,67
68,Batman Returns,1992,"Action, Crime, Fantasy",126,PG-13,7,162830000,Tim Burton,"Michael Keaton,Danny DeVito,Michelle Pfeiffer,Christopher Walken",80,73,DC,68
69,Batman Forever,1995,"Action, Adventure",121,PG-13,5.4,184030000,Joel Schumacher,"Val Kilmer,Tommy Lee Jones,Jim Carrey,Nicole Kidman",38,32,DC,69
70,Batman & Robin,1997,"Action, Sci-Fi",125,PG-13,3.8,107330000,Joel Schumacher,"Arnold Schwarzenegger,George Clooney,Chris O'Donnell,Uma Thurman",12,16,DC,70
71,Steel,1997,"Action, Adventure, Crime",97,PG-13,2.9,1710000,Kenneth Johnson,"Shaquille O'Neal,Annabeth Gish,Judd Nelson,Richard Roundtree",12,15,DC,71
72,Catwoman,2004,"Action, Crime, Fantasy",104,PG-13,3.4,40200000,Pitof,"Halle Berry,Sharon Stone,Benjamin Bratt,Lambert Wilson",9,18,DC,72
73,Constantine,2005,"Action, Fantasy, Horror",121,R,7,75980000,Francis Lawrence,"Keanu Reeves,Rachel Weisz,Djimon Hounsou,Shia LaBeouf",46,72,DC,73
74,Batman Begins,2005,"Action, Adventure",140,PG-13,8.2,206850000,Christopher Nolan,"Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson",84,94,DC,74
75,Superman Returns,2006,"Action, Sci-Fi",154,PG-13,6,200080000,Bryan Singer,"Brandon Routh,Kevin Spacey,Kate Bosworth,James Marsden",75,61,DC,75
76,The Dark Knight,2008,"Action, Crime, Drama",152,PG-13,9,534860000,Christopher Nolan,"Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine",94,94,DC,76
77,Watchmen,2009,"Action, Drama, Mystery",162,R,7.6,107510000,Zack Snyder,"Jackie Earle Haley,Patrick Wilson,Carla Gugino,Malin Akerman",65,71,DC,77
78,Jonah Hex,2010,"Action, Drama, Fantasy",81,PG-13,4.7,10540000,Jimmy Hayward,"Josh Brolin,Megan Fox,John Malkovich,Michael Fassbender",12,20,DC,78
79,Green Lantern,2011,"Action, Adventure, Sci-Fi",114,PG-13,5.5,116600000,Martin Campbell,"Ryan Reynolds,Blake Lively,Peter Sarsgaard,Mark Strong",26,45,DC,79
80,The Dark Knight Rises,2012,"Action, Adventure",164,PG-13,8.4,448140000,Christopher Nolan,"Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman",87,90,DC,80
81,Man of Steel,2013,"Action, Adventure, Sci-Fi",143,PG-13,7,291050000,Zack Snyder,"Henry Cavill,Amy Adams,Michael Shannon,Diane Lane",56,75,DC,81
82,Batman v Superman: Dawn of Justice,2016,"Action, Adventure, Sci-Fi",152,PG-13,6.4,330360000,Zack Snyder,"Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg",28,63,DC,82
83,Suicide Squad,2016,"Action, Adventure, Fantasy",123,PG-13,5.9,325100000,David Ayer,"Will Smith,Jared Leto,Margot Robbie,Viola Davis",26,59,DC,83
84,Wonder Woman,2017,"Action, Adventure, Fantasy",141,PG-13,7.4,412560000,Patty Jenkins,"Gal Gadot,Chris Pine,Robin Wright,Lucy Davis",93,83,DC,84
85,Justice League,2017,"Action, Adventure, Fantasy",120,PG-13,6.1,229020000,Zack Snyder,"Ben Affleck,Gal Gadot,Jason Momoa,Ezra Miller",40,69,DC,85
86,Aquaman,2018,"Action, Adventure, Fantasy",143,PG-13,6.9,335060000,James Wan,"Jason Momoa,Amber Heard,Willem Dafoe,Patrick Wilson",65,74,DC,86
87,Shazam!,2019,"Action, Adventure, Comedy",132,PG-13,7,140370000,David F. Sandberg,"Zachary Levi,Mark Strong,Asher Angel,Jack Dylan Grazer",90,82,DC,87
88,Joker,2019,"Crime, Drama, Thriller",122,R,8.4,335450000,Todd Phillips,"Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy",68,88,DC,88
89,Birds of Prey,2020,"Action, Adventure, Comedy",109,R,6.1,84160000,Cathy Yan,"Margot Robbie,Rosie Perez,Mary Elizabeth Winstead,Jurnee Smollett",79,78,DC,89
90,Wonder Woman 1984,2020,"Action, Adventure, Fantasy",151,PG-13,5.4,46370000,Patty Jenkins,"Gal Gadot,Chris Pine,Kristen Wiig,Pedro Pascal",59,73,DC,90
